147	VN	1236	57	1512	119	1290	176	1092	-5	-14	4	0	6	18	0	-8	-29	-127	8	38	405	120	93	192	162	167	76	727	648	6	18
148	GW	1234	82	1348	122	1281	160	1186	2	0	-4	-16	4	12	4	12	-3	-8	3	15	118	35	34	49	33	59	26	121	182	4	12
149	TI	1226	48	1599	90	1430	167	1145	2	0	5	0	2	0	2	1	13	51	-6	-20	219	50	66	103	118	70	31	618	337	2	0
149	SR	1226	25	1581	78	1408	161	1181	2	0	-1	-13	0	-3	6	23	-5	-17	-8	-29	376	147	160	69	161	126	89	717	548	0	-3
149	FO	1226	59	1287	116	1251	170	1154	9	28	8	22	10	43	4	15	7	14	-9	-30	184	79	90	15	27	139	18	131	476	10	43
152	MY	1225	60	1543	116	1302	171	1138	13	53	10	35	13	56	6	29	12	52	-3	-3	787	316	190	281	296	308	183	1277	1158	13	56
152	PH	1225	48	1262	140	1016	218	678	3	14	0	-8	6	31	9	44	53	409	62	529	274	62	84	128	59	181	34	258	816	6	31
152	LU	1225	25	1392	105	1241	189	978	-4	-10	3	3	2	17	16	78	24	123	34	213	355	190	153	12	23	291	41	207	1021	2	17
155	GY	1221	15	1512	95	1313	181	1057	-1	0	-27	-90	-25	-90	-22	-90	-17	-43	19	135	291	121	118	52	86	149	56	344	530	-25	-90
155	LI	1221	144	1242	162	1127	183	1047	11	50	10	48	6	41	5	39	12	63	16	115	156	74	75	7	12	125	19	69	442	6	41
157	ID	1207	41	1599	96	1368	162	1096	-10	-33	-4	-21	-7	-20	-8	-28	-21	-60	-32	-116	670	192	162	316	254	288	128	1130	1087	-7	-20
158	KN	1204	77	1389	130	1188	174	1111	3	18	11	54	11	54	9	54	12	65	-15	-42	169	87	48	34	70	66	33	303	253	11	54
159	BM	1202	88	1427	120	1305	176	1088	-3	0	-1	0	-4	0	0	14	9	49	3	23	152	73	52	27	51	71	30	232	251	-4	0
159	YE	1202	116	1370	139	1221	169	1124	10	40	8	45	6	33	-16	-64	-10	-32	-4	4	214	53	58	103	49	127	38	230	455	6	33
161	YT	1200	149	1224	158	1189	173	1126	-4	0	-2	0	-5	0	-5	0	12	73	-9	-16	28	2	8	18	7	13	8	38	46	-5	0
162	MR	1196	139	1259	161	1068	182	921	-3	0	-6	-18	-2	14	14	78	7	51	6	54	193	59	69	65	23	124	46	126	390	-2	14
163	MG	1192	60	1510	98	1373	167	1164	-3	0	-3	0	4	28	2	28	-28	-78	-18	-51	237	95	92	50	94	98	45	346	376	4	28
